center_adv,threats_me_3,threats_opp_3,open_threats_me,open_threats_opp,pairs_me,pairs_opp,pop_me,pop_opp,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,my_col_0,my_col_1,my_col_2,my_col_3,my_col_4,my_col_5,my_col_6,opp_col_0,opp_col_1,opp_col_2,opp_col_3,opp_col_4,opp_col_5,opp_col_6,phase,lr_balance,move
mid,0,0,0,0,0,0,0,0,low,low,low,low,low,low,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early,mid,6_put
mid,0,0,0,0,0,0,0,1,low,low,low,low,low,low,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,early,mid,6_put
mid,0,0,0,0,0,0,1,0,low,low,low,low,low,low,mid,0,0,0,0,0,0,1,0,0,0,0,0,0,1,early,mid,6_pop
mid,0,0,0,0,0,0,1,0,low,low,low,low,low,low,low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,early,mid,4_put
mid,0,0,0,0,0,0,0,2,low,low,low,low,low,low,low,0,0,0,0,0,0,0,0,0,0,0,1,0,1,early,mid,1_put
mid,0,0,0,0,0,0,2,1,low,low,low,low,low,low,low,0,0,0,0,1,0,1,0,1,0,0,0,0,0,early,mid,4_put
mid,0,0,0,0,0,1,1,2,low,low,low,low,mid,low,low,0,1,0,0,0,0,0,0,0,0,0,2,0,1,early,mid,1_put
mid,0,0,0,0,1,1,2,1,low,mid,low,low,mid,low,low,0,0,0,0,2,0,1,0,2,0,0,0,0,0,early,low,5_put
mid,0,1,0,1,1,4,1,3,low,mid,low,low,mid,low,low,0,2,0,0,0,0,0,0,0,0,0,2,1,1,early,high,4_put
mid,1,0,1,0,4,1,3,1,low,mid,low,low,mid,low,low,0,0,0,0,2,1,1,0,2,0,0,1,0,0,early,low,3_put
mid,0,0,0,0,0,0,0,1,low,low,low,low,low,low,low,0,0,0,0,0,0,0,0,0,1,0,0,0,0,early,mid,4_put
mid,0,0,0,0,0,0,1,1,low,low,low,low,low,low,low,0,0,1,0,0,0,0,0,0,0,0,1,0,0,early,mid,3_put
mid,0,0,0,0,0,1,1,2,low,low,low,low,low,low,low,0,0,0,0,1,0,0,0,0,1,1,0,0,0,early,mid,0_put
mid,0,0,0,0,1,0,2,2,low,low,low,low,low,low,low,0,0,1,1,0,0,0,1,0,0,0,1,0,0,early,mid,0_put
mid,0,0,0,0,0,1,2,2,mid,low,low,low,low,low,low,1,0,0,0,1,0,0,1,0,1,1,0,0,0,early,mid,2_put
mid,0,0,0,0,1,0,2,2,mid,low,mid,low,low,low,low,1,0,1,1,0,0,0,1,0,1,0,1,0,0,early,high,2_put
mid,0,0,0,0,0,1,2,2,mid,low,mid,low,low,low,low,1,0,1,0,1,0,0,1,0,2,1,0,0,0,early,mid,3_put
mid,0,0,0,0,1,2,2,2,mid,low,mid,mid,low,low,low,1,0,2,1,0,0,0,1,0,1,1,1,0,0,early,high,2_pop
mid,0,0,0,0,2,1,3,1,mid,low,mid,mid,low,low,low,1,0,1,1,1,0,0,1,0,1,1,0,0,0,early,mid,3_put
mid,0,0,0,0,1,3,1,3,mid,low,mid,mid,low,low,low,1,0,1,1,0,0,0,1,0,1,2,1,0,0,early,high,4_put
mid,0,0,0,0,3,2,3,1,mid,low,mid,mid,mid,low,low,1,0,1,2,1,0,0,1,0,1,1,1,0,0,mid,mid,1_put
mid,0,1,0,0,2,5,1,4,mid,low,mid,mid,mid,low,low,1,0,1,1,1,0,0,1,1,1,2,1,0,0,mid,mid,4_put
mid,1,0,0,0,5,3,4,1,mid,low,mid,mid,mid,low,low,1,1,1,2,1,0,0,1,0,1,1,2,0,0,mid,high,6_put
mid,0,1,0,0,3,5,1,5,mid,low,mid,mid,mid,low,low,1,0,1,1,2,0,0,1,1,1,2,1,0,1,mid,mid,2_put
mid,1,0,0,0,5,4,5,1,mid,low,mid,mid,mid,low,low,1,1,1,2,1,0,1,1,0,2,1,2,0,0,mid,mid,3_put
mid,0,2,0,1,4,6,1,5,mid,low,mid,high,mid,low,low,1,0,2,1,2,0,0,1,1,1,3,1,0,1,mid,mid,3_put
mid,2,0,0,0,6,4,5,1,mid,low,mid,high,mid,low,low,1,1,1,3,1,0,1,1,0,2,2,2,0,0,mid,mid,0_pop
mid,0,1,0,0,4,5,2,4,low,low,mid,high,mid,low,low,1,0,2,2,2,0,0,0,1,1,3,1,0,1,mid,mid,1_put
mid,1,1,0,0,5,6,4,2,low,mid,mid,high,mid,low,low,0,1,1,3,1,0,1,1,1,2,2,2,0,0,mid,mid,0_put
mid,1,1,0,0,6,6,2,4,mid,mid,mid,high,mid,low,low,1,1,2,2,2,0,0,1,1,1,3,1,0,1,mid,high,6_put
mid,1,1,0,0,6,6,4,2,mid,mid,mid,high,mid,low,mid,1,1,1,3,1,0,1,1,1,2,2,2,0,1,mid,mid,2_put
mid,1,1,0,0,6,6,2,4,mid,mid,high,high,mid,low,mid,1,1,2,2,2,0,1,1,1,2,3,1,0,1,mid,mid,1_put
mid,1,2,0,1,6,6,4,2,mid,mid,high,high,mid,low,mid,1,1,2,3,1,0,1,1,2,2,2,2,0,1,mid,high,1_put
mid,2,2,1,2,6,6,2,4,mid,high,high,high,mid,low,mid,1,2,2,2,2,0,1,1,2,2,3,1,0,1,mid,high,3_put
mid,2,2,2,1,6,6,4,2,mid,high,high,high,mid,low,mid,1,2,2,3,1,0,1,1,2,2,3,2,0,1,mid,high,2_pop
mid,0,0,0,0,0,0,0,1,low,low,low,low,low,low,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,early,mid,3_put
mid,0,0,0,0,0,0,1,1,low,low,low,low,low,low,low,0,1,0,0,0,0,0,0,0,0,1,0,0,0,early,mid,5_put
mid,0,0,0,0,0,0,1,2,low,low,low,low,low,low,low,0,0,0,1,0,0,0,0,1,0,0,0,1,0,early,mid,5_put
mid,0,0,0,0,0,0,2,1,low,low,low,low,low,mid,low,0,1,0,0,0,1,0,0,0,0,1,0,1,0,early,mid,3_put
